type,transmission,fuel,price,engine_cc,max_power,cylinders,seats,model,manufacturer,odometer,region,drive,age
hatchback,manual,cng,350000.0,998.0,58.2,3.0,5.0,celerio,maruti,73080,new delhi,fwd,10
hatchback,manual,cng,200000.0,216.0,10.8,1.0,4.0,re60,bajaj,35000,varanasi,rwd,7
sedan,manual,cng,700000.0,1197.0,65.39,4.0,5.0,xcent prime,hyundai,50000,pune,,4
hatchback,manual,cng,409999.99999999994,998.0,58.16,3.0,5.0,wagon r,maruti,52000,ghaziabad,fwd,8
hatchback,manual,cng,300000.0,998.0,58.16,3.0,5.0,wagon r,maruti,61852,new delhi,fwd,10
hatchback,manual,cng,300000.0,998.0,58.16,3.0,5.0,wagon r,maruti,45708,noida,fwd,10
hatchback,manual,cng,250000.0,998.0,58.16,3.0,5.0,wagon r,maruti,39952,pune,fwd,13
hatchback,manual,cng,285000.0,998.0,58.16,3.0,5.0,wagon r,maruti,78221,new delhi,fwd,10
hatchback,manual,cng,200000.0,998.0,58.16,3.0,5.0,wagon r,maruti,68588,gurgaon,fwd,13
hatchback,manual,cng,300000.0,998.0,58.16,3.0,5.0,wagon r,maruti,50957,pune,fwd,12
hatchback,manual,cng,650000.0,998.0,55.92,3.0,5.0,wagon r,maruti,3721,pune,,4
hatchback,manual,cng,250000.0,998.0,58.16,3.0,5.0,wagon r,maruti,154835,new delhi,fwd,11
hatchback,manual,cng,480000.0,998.0,67.04,3.0,5.0,wagon r,maruti,42298,pune,fwd,7
muv,manual,cng,700000.0,1373.0,80.46,4.0,7.0,ertiga,maruti,33176,pune,fwd,9
hatchback,manual,cng,220000.00000000003,998.0,58.3,3.0,4.0,alto k10,maruti,44472,new delhi,fwd,10
sedan,manual,cng,711000.0,1199.0,72.4,3.0,5.0,tigor,tata,11350,pune,,4
hatchback,manual,cng,161000.0,998.0,58.16,3.0,5.0,wagon r,maruti,156785,ghaziabad,fwd,13
sedan,manual,cng,665000.0,1197.0,68.05,4.0,5.0,aura,hyundai,42424,bangalore,,5
hatchback,manual,cng,320000.0,998.0,58.16,3.0,5.0,wagon r,maruti,60000,ulhasnagar,fwd,11
